관광지명,관광지구분,소재지도로명주소,위도,경도,관리기관전화번호,관리기관명,공공편익시설정보,숙박시설정보,운동및오락시설정보,휴양및문화시설정보,접객시설정보,지원시설정보,주차가능수,category
아산조방원미술관,관광지,전라남도 곡성군 옥과면 미술관로 288,35.29706668,127.1224042,061-363-7278,전라남도 곡성군청 문화체육과,주차장+화장실,정보없음,정보없음,정보없음,정보없음,정보없음,12,문화
곡성생태체험관,관광지,전라남도 곡성군 옥과면 월파로 295,35.31719414,127.1699834,061-363-2999,전라남도 곡성군청 환경축산과,주차장+화장실+운동기구,정보없음,정보없음,정보없음,정보없음,정보없음,15,체험
심청효문화센터,관광지,전라남도 곡성군 오산면 오산로 254-4,35.20836622,127.1288481,061-363-4041,전라남도 곡성군청 문화체육과,주차장,정보없음,정보없음,정보없음,정보없음,정보없음,25,기타
심청골짝나라학교,관광지,전라남도 곡성군 석곡면 방주마천목길 107,35.17183675,127.2580116,061-363-4224,전라남도 곡성군청 관광과,주차장,정보없음,정보없음,정보없음,정보없음,정보없음,7,체험
심청한옥마을,관광지,전라남도 곡성군 오곡면 심청로 178,35.23063008,127.3575205,061-363-9910,전라남도 곡성군청 문화체육과,주차장+무선 인터넷+화장실,정보없음,정보없음,정보없음,정보없음,정보없음,10,전통
곡성청소년야영장,관광지,전라남도 곡성군 고달면 가정마을길 51,35.22777786,127.369723,061-362-4186,전라남도 곡성군청 인구정책과,화장실+샤워실+주차장,정보없음,정보없음,정보없음,정보없음,정보없음,300,기타
곡성기차마을전통시장,관광지,전라남도 곡성군 곡성읍 곡성로 856,35.27976851,127.2984461,061-363-9002,전라남도 곡성군청 도시경제과,주차장,정보없음,정보없음,정보없음,정보없음,정보없음,43,전통
곡성기차마을 패러글라이딩체험,관광지,,35.26672854,127.3087391,061-363-6696,전라남도 곡성군청 관광과,주차장+무선 인터넷+유아시설(놀이방)+화장실,정보없음,정보없음,정보없음,정보없음,정보없음,20,전통
섬진강 레일바이크,관광지,전라남도 곡성군 오곡면 섬진강로 1465 (가정역),35.23015492,127.3682034,061-362-7717,전라남도 곡성군청 관광과,주차장,정보없음,정보없음,정보없음,정보없음,정보없음,210,레저/스포츠
문동휴양지,관광지,,34.85648266,128.6628354,055-639-4183,경상남도 거제시청,화장실,정보없음,정보없음,정보없음,정보없음,정보없음,50,기타
